scale,mean,var
14087.36194702,16939.50280999,198453766.62624010
5867.58922780,14563.05226911,34428603.34622644
6734.14630544,14153.07991424,45348726.46302863
14202.14480362,19524.24874119,201700917.02298045
7608.94246384,20672.01854920,57896005.41806863
5711.45210934,12344.89624143,32620685.19723856
7852.57106196,15997.94912777,61662872.28308915
6338.94278646,15485.56047169,40182195.64997508
7335.99181495,17592.42718384,53816775.90899264
14957.21554421,17914.58197707,223718296.83581239
6370.91855406,11286.28148653,40588603.22242553
5616.92215388,9865.09394796,31549814.48274370
15175.54663180,19283.00191664,230297215.57394823
7200.44768385,13338.60182568,51846446.84788945
3698.24091912,8213.57944320,13676985.89583439
6065.41980761,12054.30503850,36789317.44260433
4734.20273971,7579.60569145,22412675.58067385
6229.36403618,12345.08192834,38804976.29520796
7971.06857998,10267.61131144,63537934.30673876
15626.11684774,18005.80541208,244175527.73909101
8041.09880083,17310.47373550,64659269.92465077
6914.26341947,10700.68612546,47807038.63376991
14917.03605853,16776.26462658,222517964.77154118
11594.83178947,13927.03920995,134440124.22615266
9660.62752429,13667.33255368,93327724.16316323
5713.87739972,12315.56359029,32648394.93900107
4363.34586784,9173.16317448,19038787.16243951
5563.04859764,12175.13959003,30947509.69974265
7414.34203238,15129.00477536,54972467.77313165
6171.97775760,13563.37358282,38093309.44026911
3313.38055117,8247.45411428,10978490.67689751
4188.91580625,9452.67774421,17547015.63184951
6195.96719257,10005.42250593,38390009.45141426
6030.37741145,14404.94493714,36365451.72457741
10172.12016342,14891.64763019,103472028.61906968
16256.14732009,19352.51083390,264262325.69256106
8730.28227450,18736.05301628,76217828.59245262
6236.41441308,12380.43741676,38892864.73167603
11996.62266046,14714.42260338,143918955.25749037
6487.89710245,8850.95179157,42092808.81202150
6046.47797944,11837.26914206,36559895.95585711
5869.01575408,14589.43991814,34445345.92166550
3731.36286788,8898.87538576,13923068.85176816
4164.70372026,8970.63132248,17344757.07757142
9395.11392788,17858.76162167,88268165.71785662
15953.08919688,21384.38969561,254501054.92353690
6945.09626674,16466.64347205,48234362.15424445
8661.57799379,16563.91553780,75022933.34257291
15709.45652107,20112.90930059,246787024.18746600
6181.06142598,13541.11431634,38205520.35177596
5856.10152423,13605.27833544,34293925.06211947
8377.94765683,14914.57980054,70190006.94057499
7538.30188960,17114.75486470,56825995.37868929
7201.57233034,13371.91550531,51862644.02914698
6787.62480403,16955.53311893,46071850.48026451
5319.96238847,13309.71893578,28301999.81477550
8662.11171811,17628.60296267,75032179.41706149
18224.06466164,26168.03589644,332116532.79158413
8775.39924357,17794.04859825,77007631.88413474
10819.78256750,19877.59399669,117067694.80790509
24021.96404820,35150.34161713,577054756.73324800
9054.72144373,12234.87512588,81987980.42354460
4468.08698247,7699.20933632,19963801.28294950
3982.49382524,6860.69431180,15860257.06810471
7317.96708920,8335.76412305,53552642.31856255
4111.76191813,6152.13130624,16906586.07137894
2333.90533834,4804.83396680,5447114.12833075
2257.31660557,4102.24113959,5095478.25777279
3762.18376479,6599.91777929,14154026.68007993
3009.62684791,4786.16749505,9057853.76364869
2704.14593001,5267.27862781,7312405.21077250
2007.39169541,4096.73059806,4029621.41879769
3015.06263764,5449.64798753,9090602.70888450
6317.32494789,7448.86378845,39908594.49721806
3079.67796721,4408.23659163,9484416.38170101
3069.64544877,3668.75710619,9422723.18113510
6363.48753378,7019.94896534,40493973.59259424
4351.97833488,6664.10908618,18939715.42727114
1726.41756638,3610.99447747,2980517.61352242
2055.69106038,4321.44459604,4225865.73573912
2814.56532988,3222.59705032,7921777.99616059
1914.85977829,3920.74995939,3666687.97051742
1516.43062309,2944.28785369,2299561.83465965
2617.38462187,3806.47925803,6850702.25879558
2136.77934542,4808.97612318,4565825.97100510
2016.71223406,3526.94211091,4067128.23502718
4062.83883770,4943.81499529,16506659.42108949
3103.14183677,3932.58805185,9629489.25910680
2805.36573015,3781.60770555,7870076.87992239
3228.54537690,5851.18195108,10423505.25068689
1973.98652760,3989.26758276,3896622.81112695
2361.13834309,4665.04612936,5574974.27523296
3223.27280305,5825.87307930,10389487.56291206
3204.44476205,5422.48211675,10268466.23304769
1184.34971296,3455.75246077,1402684.24259336
1217.24949978,2824.64054835,1481696.34472494
2810.21186102,3423.38511516,7897290.70381248
2311.44732712,4876.14800377,5342788.74605118
3032.25704991,5296.73690024,9194582.81675456
2571.63268933,4095.25939642,6613294.68881264
2153.65126982,4158.57632459,4638213.79197691
1992.20126661,4137.62355846,3968865.88668408
2408.47362008,4615.33414547,5800745.17860438
1044.37771379,2396.73806971,1090724.80905227
1857.51724960,3105.89529935,3450370.33257153
2669.50863287,6149.41743820,7126276.34096480
1064.83890141,3201.24331612,1133881.88596182
1397.94617394,3300.70646136,1954253.50523289
3217.88638326,5841.15833415,10354792.77556699
5837.98384708,6742.28665172,34082055.39877805
2933.18035520,4887.66871325,8603546.99611921
2341.01340264,3476.05850632,5480343.75134426
4884.13087587,4189.34739954,23854734.41259490
2458.88376372,3143.62277881,6046109.36347038
1953.01596682,3401.97904688,3814271.36664670
1696.09535104,2543.70717604,2876739.43983643
2776.62581987,3103.72549784,7709650.94358760
1798.35437406,2122.83010103,3234078.45471308
1567.78654179,2573.61702888,2457954.64061830
1166.79915094,1589.47432024,1361420.25863140
2512.44108739,2593.19601728,6312360.21762761
4955.26609756,5514.35704772,24554662.09767362
2385.01063797,3278.92255466,5688275.74321440
1827.32772068,2632.51619400,3339126.59876156
6368.48423675,7023.29129714,40557591.47370065
4293.68772619,6140.17058116,18435754.29007183
2555.32293102,5620.88984180,6529675.28179364
1440.06813915,3521.63067277,2073796.24539903
1809.23414053,2296.13182601,3273328.17526068
1505.41918069,2452.58210701,2266286.90960027
1865.66101217,2917.99619920,3480691.01233004
2748.89739629,2864.98668096,7556436.89531687
1013.21899732,2118.82568301,1026612.73653039
1269.93504959,2547.49173245,1612735.03016750
2475.72260109,4303.14267615,6129202.39753643
2516.06242877,3958.97011337,6330570.14548630
1321.86530123,2702.53532794,1747327.87458437
2158.95679315,2794.69216775,4661094.43468735
1162.21826047,2339.41617126,1350751.28497645
922.67750871,1068.79647858,851333.78507418
2506.58450493,2587.80862814,6282965.88037651
1633.75145871,3295.05291882,2669143.82882747
2541.32782368,2991.95692428,6458347.10739310
2767.04370688,4135.45417925,7656530.87577951
1052.58450234,1388.84335510,1107934.13457618
960.42302005,1853.34801676,922412.37743873
1608.31906441,2105.60997953,2586690.21295562
2969.44514351,3028.13185849,8817604.46031202
962.51511739,2325.84111360,926435.35119666
1485.34024446,2359.25484846,2206235.64180599
4305.32349946,4538.22216808,18535810.43496659
4343.32830652,4275.47769873,18864500.77823599
1640.66293096,2230.46717344,2691774.85302207
1686.37402884,3662.13825813,2843857.36515520
1891.27733493,3257.30682520,3576929.95760764
3955.61850481,5017.06623786,15646917.75557743
1855.92284811,3097.68576812,3444449.61814724
1786.53423282,3540.11996881,3191704.56505067
5130.90057031,4762.49368158,26326140.66239554
2811.81334844,3072.21076568,7906294.30648578
1251.78091808,2293.94071403,1566955.46687468
2491.67211789,3942.53406101,6208429.94308681
8552.19569656,7818.70074392,73140051.23234403
9237.92665824,6119.61131144,85339288.94306435
1701.91464335,2826.08543677,2896513.45324695
3037.95278880,3953.95484521,9229157.14697178
9888.34915759,7921.44687003,97779449.06243287
3283.45964486,3018.23405776,10781107.23940524
1639.93116033,2231.04395283,2689374.21062054
3613.46860393,4892.74635351,13057155.35157487
6361.37529530,5090.98794789,40467095.64767987
4754.47847868,3719.42237599,22605065.60427072
2802.97835358,3783.04999513,7856687.65065319
3091.70157538,4814.09433778,9558618.63119396
2347.32442534,5875.39261930,5509931.95779499
1580.85929090,3633.43101712,2499116.09762743
2313.66359618,3211.29834649,5353039.23626634
1374.02372141,2630.69197284,1887941.18699563
3856.75319183,5171.42182373,14874545.18265337
2714.68564030,3322.60890751,7369518.12567446
1035.55310260,2156.51395251,1072370.22829995
1418.77302447,2734.67602248,2012916.89497360
4121.44963616,5912.56547445,16986347.10339436
2675.98693629,3985.81262385,7160906.08320225
1317.68396232,2699.71039210,1736291.02456374
2677.05853680,4907.84543417,7166642.40946549
1823.41270132,4351.72803171,3324833.87931916
1522.28622852,3760.05262645,2317355.36155493
3019.74131435,5447.81161680,9118837.60557991
3092.07366946,5148.20868661,9560919.57734453
2285.31978079,4458.43874866,5222686.50047947
1946.15922087,4646.09573466,3787535.71298671
2246.97546814,2871.36360978,5048898.75441368
897.13340066,2133.17912484,804848.33857343
1685.35412361,2606.72059253,2840418.52197045
3575.48816963,4171.42916545,12784115.65114827
1119.91619187,2603.44225709,1254212.27681226
899.08892186,1785.16044570,808360.88940515
1533.42376500,2798.27482701,2351388.44306804
1418.92893284,2785.93727057,2013359.31643665
1035.95835053,2164.47399539,1073209.70402278
2421.10584317,2938.87379398,5861753.50383945
1311.67525809,2318.05886366,1720491.98269625
1193.21627806,2314.56888542,1423765.08623846
2775.18061595,3099.68992626,7701627.45116942
1977.99738859,4307.68859435,3912473.66926114
3202.63033119,4337.33018224,10256841.03823633
5699.50470880,7869.00942078,32484353.92564964
1424.91103094,2237.24240652,2030371.44609564
1385.11312497,2925.26654322,1918538.36897031
3237.89551867,3826.20342397,10483967.38979818
7685.77539324,7742.64149043,59071143.39536352
2314.14914702,4344.56381769,5355286.27464447
2072.66751996,3068.56427249,4295950.64829900
7406.31156827,6902.99707631,54853451.04634824
4380.55699670,4926.31709060,19189279.60133443
1700.77096341,2828.08459215,2892621.86998415
1699.39142021,3469.11694767,2887931.19907057
1947.88769794,3199.83906702,3794266.48379749
3165.85676997,4979.65370497,10022649.08795413
2153.03555627,4154.07055843,4635562.10657660
1890.52738459,4221.35048566,3574093.79188545
3047.07450081,4118.09596206,9284663.01349863
3702.57918508,5871.50225774,13709092.62175843
1458.74515952,3169.57054218,2127937.44042387
2129.21255273,4086.58421856,4533546.09470856
5958.28352109,5208.30546081,35501142.51764734
7291.39157782,7850.24997564,53164391.14106630
2322.91097966,4354.60958971,5395915.41942136
1449.76762979,2636.38813631,2101826.18037707
3527.87090365,3979.25387389,12445873.11285370
1453.94179831,2324.72598512,2113946.75287284
960.98347559,2335.30909918,923489.24035738
1680.44100012,4227.40977163,2823881.95488225
2069.29096720,2891.62388331,4281965.10695254
2010.43499977,3151.44043790,4041848.88830014
2135.86467294,4820.44719488,4561917.90111147
2735.93397872,5336.51570672,7485334.73593074
3603.13389049,4905.04054186,12982573.83281050
2639.41889634,6240.37374525,6966532.11035508
2534.26022034,4231.42958776,6422474.86440996
1035.38157883,2263.55183056,1072015.01377559
3083.72210379,4196.25994867,9509342.01338042
3189.87556589,4150.31134068,10175306.12585239
1121.54081271,2604.84355001,1257853.79457937
1212.18859033,2289.30114024,1469401.17852158
2317.20512045,3788.04677907,5369439.57023809
1181.90906922,2236.44644771,1396909.04789880
1013.08778592,2122.20244940,1026346.86198016
2553.08130347,4382.57216646,6518224.14213794
1937.19509941,4081.10450573,3752724.85315939
2312.42434109,5300.51021668,5347306.33325326
3765.89472714,6624.72124224,14181963.09589654
6364.15474486,7206.27349511,40502465.61649089
2316.48059416,3864.82298671,5366082.34312619
2714.11130506,4387.76353832,7366400.17625956
4877.40637521,4657.43715687,23789092.94890615
2355.18800927,3634.75427996,5546910.55898947
1500.04832109,3025.09034207,2250144.96559008
2177.42144198,3781.73102037,4741164.13601165
2531.49827195,4229.10999578,6408483.50087886
1913.08132107,2407.05938343,3659880.14103393
1303.35665475,2688.78676542,1698738.56948083
1439.28692970,2779.20355391,2071546.86601472
2316.48746704,3227.46931748,5366114.18493225
5146.00571090,3972.60673099,26481374.77663292
1996.74430256,2106.56365526,3986987.80979814
2216.68592860,2236.54114284,4913696.50604695
4884.93637310,4186.97261475,23862603.36925952
2757.53062776,3394.14644447,7603975.16303899
913.61515849,1880.54497612,834692.65781374
1464.03970502,2757.64993665,2143412.25786047
1880.15201161,1953.92918169,3534971.58677245
1165.67648606,2591.59425657,1358801.67015119
1176.25446259,1999.00240392,1383574.56075827
2447.99093119,3476.81470292,5992659.59916402
1458.36660110,3161.42910048,2126833.14319631
1236.65504528,1944.95338336,1529315.70100721
2015.32553951,2856.31738297,4061537.03021692
1530.94434545,2386.74102589,2343790.58887887
1252.37342840,2293.99798590,1568439.20416707
2254.50400184,2717.23178378,5082788.29429303
1036.93122035,1904.81635968,1075226.35574444
1418.90145316,2620.92031316,2013281.33377279
2816.88290029,3427.14316343,7934829.27395253
1823.79351492,2385.98554397,3326222.78506208
537.57674934,1519.60517169,288988.76143510
873.18127325,1724.76048468,762445.53594690
1881.80674056,1955.49667024,3541196.60882335
1331.25429749,2237.19881103,1772238.00458943
1003.37374660,2215.71744144,1006758.87536321
1438.05308879,2387.59347692,2067996.68618297
1426.78703216,2234.60335250,2035721.23512763
959.16572707,1696.04625930,919998.89198995
690.75902335,1547.93636098,477148.02833808
474.70661738,1044.93048111,225346.37258323
1055.53698601,1390.48107722,1114158.32884148
1962.88744612,2459.95965306,3852927.12613743
586.23833364,1361.79547153,343675.38382512
996.84801444,1750.41958224,993705.96389812
2814.78179912,3224.92986389,7922996.57666813
4795.77953806,5038.72767437,22999501.37764651
2051.26544456,3380.49982133,4207689.92404087
2846.63683928,3852.51356268,8103341.29474343
4882.93184798,4654.03615632,23843023.43198412
2039.86120261,2538.18312055,4161033.72591200
1522.27258511,2449.92070299,2317313.82339070
2020.69987709,2620.81168177,4083227.99328590
2249.50609712,2865.93639346,5060277.68097515
1998.62101469,2309.75385765,3994485.96036707
1447.00999979,2417.81168177,2093837.93948996
929.40391975,1821.68287691,863791.64604634
1809.33467067,2302.36637105,3273691.95049434
5603.85549454,5925.84225059,31403196.40366341
2396.56641050,3469.95559237,5743530.55992900
3448.80700822,4813.01201962,11894269.77992886
7330.64185878,8337.86651723,53738310.06167405
4664.47626738,6832.60682844,21757338.84898953
2125.11200928,4182.28902316,4516101.05199496
1781.82338254,4018.78809733,3174894.56657112
3440.89196430,4802.23240100,11839737.50996988
2513.43947271,4694.39300913,6317377.98295735
2402.41397870,3951.93957704,5771592.92504348
4259.22036038,4682.06321671,18140958.07825680
2314.09985774,5276.24133450,5355058.15158127
1453.53806022,3155.75928272,2112772.89251485
2199.68046998,3967.23409024,4838594.17000117
1661.33348640,2976.56937271,2760028.95304568
1525.55708693,3754.10625995,2327324.42547586
2124.81444588,2975.99525712,4514836.42943531
1124.88419409,1961.03297274,1265364.45010339
839.77101403,1276.56742358,705215.35600209
1825.58450911,2628.87116265,3332758.79989055
1739.18221987,3279.46632882,3024754.79390733
1010.55456391,1795.11850697,1021220.52664413
1228.80110993,2124.61075919,1509952.16775870
995.49237227,1745.69379203,991005.06323892
1708.10150817,2549.01634019,2917610.76219929
1663.00573264,1832.21018094,2765588.06679432
2809.03602694,2621.37949518,7890683.40066721
2003.01783412,3133.19540006,4012080.44380566
2640.79522045,2594.04466751,6973799.39634151
5510.37556916,4272.97332944,30364238.91320216
5203.44605107,3881.18276321,27075850.80634673
4749.09037984,3713.71685671,22553859.43592625
1164.70574183,2798.19770653,1356539.46505402
1400.72878338,2138.92443881,1962041.12458968
1313.63587670,2168.93116330,1725639.21655248
1392.16626194,3295.40918689,1938126.90088302
2149.80579733,4512.42049183,4621664.96622006
1719.04729660,2805.35314947,2955123.60796260
1245.39310704,2234.96377871,1551003.99105394
1418.64890397,2617.30757236,2012564.71272796
4381.23509417,6128.40087061,19195220.95037057
4298.02629812,5092.52515999,18473030.05932707
5603.89737928,5609.04671410,31403665.83746978
3167.61069260,4968.44176981,10033757.49989843
3764.12090406,5086.44583049,14168606.18040560
7551.45925631,7219.01874411,57024536.89972285
3523.37368737,3661.43494786,12414162.14084010
3971.51246952,5031.48335120,15772911.29555985
2688.45492683,4931.29519540,7227789.89359583
2606.83090997,3560.73855700,6795567.39316855
1317.17855985,2172.39359387,1734959.35851660
2373.09215919,4669.64145795,5631566.39599037
2256.43189353,3060.36270019,5091484.89014883
1049.15241651,2550.56521457,1100720.79306214
776.67998726,2027.19540006,603231.80260757
2213.53430178,2237.18139882,4899734.10515770
1206.61470231,1998.79232044,1455919.03983707
1388.56128529,2258.08527434,1928102.44300929
1579.76816187,2108.52314589,2495667.44525414
1191.19562940,2309.72397102,1418947.02750161
831.23600298,943.31549881,690953.29265749
691.38945331,1035.38982555,478019.37615220
448.13825544,657.56583179,200827.89599265
